{,#N/A,German,Spanish,Brazilian Portuguese,Russian,Japanese,Simplified Chinese,Italian,French,Korean,Turkish,Hungarian
"Events.14h-p3.30: ""And they also were very wise.#Which means, they knew that I would find this message, and they knew that I would decrypt it."", // message","And they also were very wise.#Which means, they knew that I would find this message, and they knew that I would decrypt it.","Und sie waren auch sehr weise. Das heißt, sie wussten, dass ich diese Nachricht finden würde, und sie wussten, dass ich sie entschlüsseln würde.",Y también fueron muy sabios. Lo que significa que sabían que encontraría este mensaje y sabían que lo descifraría.,E eles também foram muito sábios.#O que significa que eles sabiam que eu encontraria esta mensagem e que eu a decifraria.,"А еще они были очень мудрыми.#То есть, они знали, что я найду это сообщение, и они знали, что я его расшифрую.",そして、彼らはとても賢明でもありました。# つまり、彼らは私がこのメッセージを見つけることを知っていて、私がそれを解読することも知っていたのです。,他们也非常明智。#这意味着，他们知道我会找到这条消息，并且他们知道我会解密它。,Ed erano anche molto saggi.#Ciò significa che sapevano che avrei trovato questo messaggio e sapevano che l'avrei decifrato.,"Et ils étaient aussi très sages.#Ce qui signifie qu’ils savaient que je trouverais ce message, et ils savaient que je le décrypterais.",그리고 그들은 또한 매우 현명했습니다.#그들은 내가 이 메시지를 찾을 것이라는 것을 알았고 내가 그것을 해독할 것이라는 것을 알고 있었습니다.,"Ve aynı zamanda çok bilgeydiler.#Yani, bu mesajı bulacağımı ve şifresini çözeceğimi biliyorlardı.","És ők is nagyon bölcsek voltak.#Ami azt jelenti, tudták, hogy megtalálom ezt az üzenetet, és tudták, hogy meg fogom fejteni."
"Events.14h-p3.31: ""But it also means that they wouldn't even try to stop the bad power because they knew that it is an impossible task."", // message",But it also means that they wouldn't even try to stop the bad power because they knew that it is an impossible task.,"Aber es bedeutet auch, dass sie nicht einmal versuchen würden, die böse Macht zu stoppen, weil sie wussten, dass dies eine unmögliche Aufgabe ist.",Pero también significa que ni siquiera intentarían detener el mal poder porque sabían que es una tarea imposible.,Mas também significa que nem sequer tentariam deter o mau poder porque sabiam que se tratava de uma tarefa impossível.,"Но это также означает, что они даже не попытаются остановить плохую силу, потому что знают, что это невыполнимая задача.",しかし、それはまた、彼らが悪の権力を阻止することが不可能な仕事であることを知っていたため、それを阻止しようとさえしないことを意味します。,但这也意味着他们甚至不会尝试阻止邪恶的力量，因为他们知道这是一项不可能完成的任务。,Ma significa anche che non avrebbero nemmeno provato a fermare il potere cattivo perché sapevano che era un compito impossibile.,Mais cela signifie aussi qu’ils n’essaieraient même pas d’arrêter le mauvais pouvoir parce qu’ils savaient que c’était une tâche impossible.,하지만 이는 불가능한 일임을 알기에 나쁜 힘을 막으려는 시도조차 하지 않겠다는 뜻이기도 하다.,Ama bu aynı zamanda kötü gücü durdurmaya çalışmayacakları anlamına da geliyor çünkü bunun imkansız bir görev olduğunu biliyorlardı.,"De ez azt is jelenti, hogy meg sem próbálnák megállítani a rossz hatalmat, mert tudták, hogy ez lehetetlen feladat."
"Events.14h-p3.32: ""Which leads me to this conclusion. It looks like the message is from someone who wants me to find out about my past, about my parents, about me...#...but I don't know who that is, and I don't know why they want me to find out about it..."", // message","Which leads me to this conclusion. It looks like the message is from someone who wants me to find out about my past, about my parents, about me...#...but I don't know who that is, and I don't know why they want me to find out about it...","Was mich zu dieser Schlussfolgerung führt. Es sieht so aus, als wäre die Nachricht von jemandem, der möchte, dass ich etwas über meine Vergangenheit, über meine Eltern, über mich herausfinde ... # ... aber ich weiß nicht, wer das ist, und ich weiß nicht, warum sie möchten, dass ich davon erfahre ...","Lo que me lleva a esta conclusión. Parece que el mensaje es de alguien que quiere que sepa de mi pasado, de mis padres, de mí...#...pero no sé quién es, y no sé por qué quieren que me entere...","O que me leva a esta conclusão. Parece que a mensagem é de alguém que quer que eu descubra sobre meu passado, sobre meus pais, sobre mim...#...mas não sei quem é, e não sei por que querem que eu descubra...","Что приводит меня к такому выводу. Похоже, сообщение пришло от кого-то, кто хочет, чтобы я узнал о своем прошлом, о своих родителях, обо мне...#...но я не знаю, кто это, и не знаю, почему они хотят, чтобы я об этом узнал...",それが私をこの結論に導きます。私の過去、両親、私のことを知ってほしいという誰かからのメッセージのようです...#...でも、それが誰なのかもわかりませんし、なぜ私にそれを調べてもらいたいのかもわかりません...,这让我得出这个结论。看起来这条消息是某个人发来的，他想让我了解我的过去，了解我的父母，了解我自己……#……但我不知道那人是谁，我也不知道他们为什么要我了解这些……,"Il che mi porta a questa conclusione. Sembra che il messaggio provenga da qualcuno che vuole che scopra il mio passato, i miei genitori, me...#...ma non so chi sia, e non so perché vogliono che lo scopra...","Ce qui m'amène à cette conclusion. On dirait que le message vient de quelqu'un qui veut que je découvre mon passé, mes parents, moi...#...mais je ne sais pas qui c'est, et je ne sais pas pourquoi ils veulent que je le découvre...","나는 이런 결론을 내리게 되었습니다. 내 과거, 부모님, 나에 대해 알아내라는 누군가가 보낸 메시지인 것 같습니다...#...하지만 그 사람이 누구인지도 모르고 왜 나에게 알려달라고 하는지 모르겠습니다...","Bu da beni şu sonuca götürüyor. Görünüşe göre mesaj geçmişim hakkında, ailem hakkında, benim hakkımda bilgi edinmemi isteyen birinden geliyor...#...ama onun kim olduğunu bilmiyorum ve neden bunu öğrenmemi istediklerini de bilmiyorum...","Ami erre a következtetésre vezet. Úgy tűnik, az üzenet valakitől származik, aki azt akarja, hogy megtudjak a múltamról, a szüleimről, rólam...#...de nem tudom, ki az, és nem tudom, miért akarják, hogy megtudjak róla..."
"Events.14h-p3.33: ""So, I'm asking you, {{DT_name}}, to look and not look for me at the same time.#I want you to get me to safety, but I know that it would be so dangerous for you to do it.#And I don't want you to get hurt because of me."", // message","So, I'm asking you, {{DT_name}}, to look and not look for me at the same time.#I want you to get me to safety, but I know that it would be so dangerous for you to do it.#And I don't want you to get hurt because of me.","Deshalb bitte ich dich, {{DT_name}}, gleichzeitig nach mir zu suchen und nicht nach mir zu suchen.#Ich möchte, dass du mich in Sicherheit bringst, aber ich weiß, dass es für dich sehr gefährlich wäre, das zu tun.#Und ich möchte nicht, dass du meinetwegen verletzt wirst.","Entonces, te pido, {{DT_name}}, que mires y no me busques al mismo tiempo.#Quiero que me lleves a un lugar seguro, pero sé que sería muy peligroso para ti hacerlo.#Y no quiero que salgas lastimado por mi culpa.","Então, estou pedindo a você, {{DT_name}}, que olhe e não me procure ao mesmo tempo.#Quero que você me leve para um local seguro, mas sei que seria muito perigoso para você fazer isso.#E não quero que você se machuque por minha causa.","Итак, я прошу тебя, {{DT_name}}, искать и не искать меня одновременно.#Я хочу, чтобы ты доставил меня в безопасное место, но я знаю, что для тебя это будет очень опасно.#И я не хочу, чтобы ты пострадал из-за меня.",そこで、{{DT_name}} さん、私を探すことと探さないことを同時にお願いします。#私を安全な場所に連れて行ってほしいのですが、それをするのはとても危険なことだとわかっています。#そして、私のせいで怪我をしてほしくないのです。,所以，我请求你，{{DT_name}}，同时寻找和不要寻找我。#我希望你能把我带到安全的地方，但我知道这样做对你来说会很危险。#而且我不希望你因为我而受到伤害。,"Quindi ti sto chiedendo, {{DT_name}}, di cercarmi e di non cercarmi allo stesso tempo.#Voglio che tu mi porti in salvo, ma so che sarebbe molto pericoloso per te farlo.#E non voglio che tu ti faccia male a causa mia.","Alors, je te demande, {{DT_name}}, de me chercher et de ne pas me chercher en même temps.#Je veux que tu me mettes en sécurité, mais je sais que ce serait très dangereux pour toi de le faire.#Et je ne veux pas que tu sois blessé à cause de moi.",그래서 {{DT_name}} 님에게 저를 찾으시되 동시에 찾지 말아주시길 부탁드립니다.#저를 안전한 곳으로 데려가셨으면 좋겠지만 그렇게 하면 너무 위험하다는 것을 알고 있습니다.#그리고 저 때문에 다치지 않았으면 좋겠습니다.,Bu yüzden senden aynı anda hem aramanı hem de aramamanı istiyorum {{DT_name}}.#Beni güvenli bir yere götürmeni istiyorum ama bunu yapmanın senin için çok tehlikeli olacağını biliyorum.#Ve benim yüzümden incinmeni istemiyorum.,"Ezért arra kérlek, {{DT_name}}, hogy egyszerre keressen és ne keressen.#Azt akarom, hogy biztonságos helyre vigyen, de tudom, hogy nagyon veszélyes lenne ezt megtennie.#És nem akarom, hogy megsérüljön miattam."
"Events.14h-p3.34: ""I don't know what will happen to me, but if I don't come back, I want you to know that I always did and always will love you."", // message","I don't know what will happen to me, but if I don't come back, I want you to know that I always did and always will love you.","Ich weiß nicht, was mit mir passieren wird, aber wenn ich nicht zurückkomme, möchte ich, dass du weißt, dass ich dich immer geliebt habe und immer lieben werde.","No sé qué será de mí, pero si no vuelvo, quiero que sepas que siempre te amé y siempre te amaré.","Não sei o que vai acontecer comigo, mas se eu não voltar, quero que você saiba que sempre amei e sempre amarei você.","Я не знаю, что со мной будет, но если я не вернусь, я хочу, чтобы ты знал, что я всегда любил и всегда буду любить тебя.",私に何が起こるか分かりませんが、もし私が戻れなくなったとしても、私はいつもあなたを愛していましたし、これからもあなたを愛していることを知っておいてください。,我不知道我会发生什么，但如果我不回来，我想让你知道我一直都爱你，也永远会爱你。,"Non so cosa mi succederà, ma se non torno, voglio che tu sappia che ti ho sempre amato e che sempre ti amerò.","Je ne sais pas ce qui m'arrivera, mais si je ne reviens pas, je veux que tu saches que je t'ai toujours aimé et que je t'aimerai toujours.","나에게 무슨 일이 일어날지는 모르겠지만, 만약 내가 돌아오지 못한다면, 나는 언제나 그랬고 앞으로도 언제나 당신을 사랑할 것이라는 점을 알아주셨으면 합니다.",Bana ne olur bilmiyorum ama eğer geri dönmezsem seni her zaman sevdiğimi ve her zaman seveceğimi bilmeni isterim.,"Nem tudom, mi lesz velem, de ha nem jövök vissza, szeretném, ha tudnád, hogy mindig is szeretlek és szeretni foglak."
"Events.14h-p3.35: ""But I hope that I'll come back to you and that we'll be able to live our lives together, in peace and love, no matter what."", // message","But I hope that I'll come back to you and that we'll be able to live our lives together, in peace and love, no matter what.","Aber ich hoffe, dass ich zu dir zurückkomme und dass wir unser Leben zusammen leben können, in Frieden und Liebe, egal was passiert.","Pero espero volver contigo y que podamos vivir nuestras vidas juntos, en paz y amor, pase lo que pase.","Mas espero voltar para você e que possamos viver nossas vidas juntos, em paz e amor, não importa o que aconteça.","Но я надеюсь, что вернусь к тебе и что мы сможем прожить жизнь вместе, в мире и любви, несмотря ни на что.",でも、何があっても、私があなたのところに戻ってきて、平和と愛の中で一緒に人生を送れることを願っています。,但我希望我能回到你身边，无论发生什么，我们都能在和平与爱中一起生活。,"Ma spero che tornerò da te e che potremo vivere le nostre vite insieme, in pace e amore, qualunque cosa accada.","Mais j'espère que je reviendrai vers toi et que nous pourrons vivre notre vie ensemble, dans la paix et l'amour, quoi qu'il arrive.",하지만 저는 제가 여러분에게 다시 돌아와 무슨 일이 있어도 평화와 사랑 속에서 함께 삶을 살아갈 수 있기를 바랍니다.,"Ama umarım aranıza geri dönerim ve ne olursa olsun hayatlarımızı birlikte, barış ve sevgi içinde yaşayabiliriz.","De remélem, hogy visszajövök hozzád, és képesek leszünk együtt élni az életünket, békében és szeretetben, bármi történjen is."
"Events.14h-p3.36: ""I'd like to say - be careful on your way home, but I know you won't listen to me.#So I'll say - be safe, and I hope you'll find me soon."", // message","I'd like to say - be careful on your way home, but I know you won't listen to me.#So I'll say - be safe, and I hope you'll find me soon.","Ich würde gerne sagen: Sei vorsichtig auf dem Heimweg, aber ich weiß, dass du nicht auf mich hören wirst.#Also sage ich: Pass auf dich auf und hoffe, dass du mich bald findest.","Me gustaría decirte: ten cuidado en el camino a casa, pero sé que no me escucharás.#Así que te diré: mantente a salvo y espero que me encuentres pronto.","Eu gostaria de dizer: tenha cuidado ao voltar para casa, mas sei que você não vai me ouvir.#Então direi: fique seguro e espero que você me encontre em breve.","Я бы хотел сказать - будь осторожен по дороге домой, но я знаю, что ты меня не послушаешь.#Поэтому я скажу - будь осторожен, и надеюсь, ты скоро найдешь меня.",言いたいのですが - 帰り道は気をつけてください。でも、あなたが私の言うことを聞かないのはわかっています。＃だから私は言います - 安全に気をつけて、すぐに私を見つけられることを願っています。,我想说 - 回家路上小心点，但我知道你不会听我的。#所以我会说 - 注意安全，希望你很快就能找到我。,"Vorrei dirti: fai attenzione mentre torni a casa, ma so che non mi ascolterai.#Quindi ti dirò: stai attento e spero che mi troverai presto.","J'aimerais vous dire : soyez prudent en rentrant chez vous, mais je sais que vous ne m'écouterez pas.#Alors je dirai : soyez prudent et j'espère que vous me retrouverez bientôt.",집에 가는 길 조심하라고 말하고 싶지만 내 말을 듣지 않을 거라는 걸 알아요.#그래서 말할게요 - 조심하세요. 곧 저를 찾을 수 있을 거예요.,"Şunu söylemek istiyorum: Eve giderken dikkatli ol, ama beni dinlemeyeceğini biliyorum.#Öyleyse şunu söyleyeceğim: Dikkatli ol, umarım beni yakında bulursun.","Szeretném azt mondani – légy óvatos hazafelé, de tudom, hogy nem fogsz rám hallgatni.#Tehát azt mondom – légy biztonságban, és remélem, hamarosan megtalálsz."
"Events.14h-p3.37: ""As we both know, you will search for me, so left you a hint about where I'm going next.#But it's not here, it is with my only friend from Pelican Town..."", // message","As we both know, you will search for me, so left you a hint about where I'm going next.#But it's not here, it is with my only friend from Pelican Town...","Wie wir beide wissen, wirst du nach mir suchen, also habe ich dir einen Hinweis hinterlassen, wohin ich als nächstes gehe.#Aber es ist nicht hier, es ist bei meinem einzigen Freund aus Pelican Town ...","Como ambos sabemos, me buscarás, así que te dejé una pista sobre adónde iré a continuación. Pero no es aquí, es con mi único amigo de Pelican Town...","Como nós dois sabemos, você vai me procurar, então deixei uma dica sobre para onde irei em seguida.#Mas não é aqui, é com meu único amigo de Pelican Town...","Мы оба знаем, что ты будешь меня искать, поэтому я оставил тебе подсказку, куда я пойду дальше.#Но это не здесь, а с моим единственным другом из города Пеликан...",私たち二人とも知っているように、あなたは私を探すことになるので、私が次にどこへ行くかについてヒントを残してください。# でもここにはいません、ペリカンタウンから来た私の唯一の友人と一緒です...,我们都知道，你会寻找我，所以给你留了一个关于我下一步要去哪里的提示。#但它不在这里，它是和我来自鹈鹕镇的唯一朋友......,"Come sappiamo entrambi, mi cercherai, quindi ti ho lasciato un suggerimento su dove andrò dopo.#Ma non è qui, è con il mio unico amico di Pelican Town...","Comme nous le savons tous les deux, vous allez me chercher, alors je vous ai laissé un indice sur l'endroit où je vais ensuite.#Mais ce n'est pas ici, c'est avec mon seul ami de Pelican Town...",우리 둘 다 알다시피 저를 검색하실 테니 제가 다음에 어디로 갈지 힌트를 남겨 주셨네요.#근데 여기는 아니고 펠리칸 타운에 있는 하나뿐인 친구와 함께...,"İkimizin de bildiği gibi, beni arayacaksın, bu yüzden sana bundan sonra nereye gideceğim konusunda bir ipucu bıraktım.#Ama o burada değil, Pelican Kasabasından tek arkadaşımın yanında...","Mint mindketten tudjuk, keresni fogsz, így hagytál egy tippet, hogy merre megyek tovább.#De ez nem itt van, hanem az egyetlen barátommal Pelikánvárosból..."
"Events.14h-p3.38: ""I hope you'll find me soon, {{DT_name}}.#I hope you'll find me soon because I can't wait to see you again."", // message","I hope you'll find me soon, {{DT_name}}.#I hope you'll find me soon because I can't wait to see you again.","Ich hoffe, dass du mich bald findest, {{DT_name}}.#Ich hoffe, dass du mich bald findest, denn ich kann es kaum erwarten, dich wiederzusehen.","Espero que me encuentres pronto, {{DT_name}}.#Espero que me encuentres pronto porque no puedo esperar a verte de nuevo.","Espero que você me encontre logo, {{DT_name}}.#Espero que você me encontre logo porque mal posso esperar para vê-lo novamente.","Надеюсь, ты скоро найдешь меня, {{DT_name}}.#Надеюсь, ты скоро найдешь меня, потому что мне не терпится увидеть тебя снова.",すぐに私を見つけてくれることを願っています、{{DT_name}}。#また会えるのが待ちきれませんので、すぐに見つけられることを願っています。,我希望你很快就能找到我，{{DT_name}}。#我希望你很快就能找到我，因为我迫不及待地想再次见到你。,"Spero che mi troverai presto, {{DT_name}}.#Spero che mi troverai presto perché non vedo l'ora di rivederti.","J'espère que vous me trouverez bientôt, {{DT_name}}.#J'espère que vous me trouverez bientôt car j'ai hâte de vous revoir.","빨리 찾아주셨으면 좋겠습니다, {{DT_name}}님.#다시 만나고 싶기 때문에 빨리 찾아주시길 바랍니다.",Umarım beni yakında bulursun {{DT_name}}.#Umarım beni yakında bulursun çünkü seni tekrar görmek için sabırsızlanıyorum.,"Remélem, hamarosan megtalál, {{DT_name}}.#Remélem, hamarosan megtalál, mert már alig várom, hogy újra láthassam."
"Events.14h-p3.39: ""Bye for now, my loved {{DT_name}}."", // message","Bye for now, my loved {{DT_name}}.","Tschüss, mein geliebter {{DT_name}}.","Adiós por ahora, mi amado {{DT_name}}.","Tchau por enquanto, meu querido {{DT_name}}.","Пока, мой любимый {{DT_name}}.",さようなら、私の愛する{{DT_name}}。,现在再见了，我亲爱的{{DT_name}}。,"Ciao per ora, mio ​​amato {{DT_name}}.","Au revoir pour l'instant, mon bien-aimé {{DT_name}}.","이제 사랑하는 {{DT_name}} 님, 안녕히 계세요.",Şimdilik hoşçakal sevgili {{DT_name}}.,"Egyelőre viszlát, kedvesem, {{DT_name}}."
"Events.14h-p3.40: ""Your heart is full of worries, your head is full of thoughts, your eyes are full of tears..."", // message","Your heart is full of worries, your head is full of thoughts, your eyes are full of tears...","Dein Herz ist voller Sorgen, dein Kopf ist voller Gedanken, deine Augen sind voller Tränen ...","Tu corazón está lleno de preocupaciones, tu cabeza está llena de pensamientos, tus ojos están llenos de lágrimas...","Seu coração está cheio de preocupações, sua cabeça está cheia de pensamentos, seus olhos estão cheios de lágrimas...","Твое сердце полно забот, твоя голова полна мыслей, твои глаза полны слез...",心は悩みでいっぱい、頭は考え事でいっぱい、目は涙でいっぱい…。,你的心里充满了忧虑，你的脑袋里充满了思绪，你的眼里充满了泪水……,"Il tuo cuore è pieno di preoccupazioni, la tua testa è piena di pensieri, i tuoi occhi sono pieni di lacrime...","Votre cœur est plein d'inquiétudes, votre tête est pleine de pensées, vos yeux sont pleins de larmes...","마음은 걱정으로 가득 차 있고, 머리는 생각으로 가득 차 있고, 눈은 눈물로 가득 차 있습니다...","Kalbin endişelerle dolu, kafan düşüncelerle dolu, gözlerin yaşlarla dolu...","A szíved tele van aggodalommal, a fejed tele gondolatokkal, a szemed csupa könny..."
"Events.14h-p3.41: ""You want to share the note with {{DT_wizard_name}}, but looks like {{DT_wizard_fem}} disappeared...#You know {{DT_wizard_fem}} was reading both the note and the decrypted message, but you can't find him anywhere..."", // message","You want to share the note with {{DT_wizard_name}}, but looks like {{DT_wizard_fem}} disappeared...#You know {{DT_wizard_fem}} was reading both the note and the decrypted message, but you can't find him anywhere...","Sie möchten die Notiz mit {{DT_wizard_name}} teilen, aber es sieht so aus, als wäre {{DT_wizard_fem}} verschwunden...#Sie wissen, dass {{DT_wizard_fem}} sowohl die Notiz als auch die entschlüsselte Nachricht gelesen hat, aber Sie können ihn nirgendwo finden...","Quieres compartir la nota con {{DT_wizard_name}}, pero parece que {{DT_wizard_fem}} desapareció...#Sabes que {{DT_wizard_fem}} estaba leyendo tanto la nota como el mensaje descifrado, pero no puedes encontrarlo por ningún lado...","Você deseja compartilhar a nota com {{DT_wizard_name}}, mas parece que {{DT_wizard_fem}} desapareceu...#Você sabe que {{DT_wizard_fem}} estava lendo a nota e a mensagem descriptografada, mas você não consegue encontrá-lo em lugar nenhum...","Вы хотите поделиться заметкой с {{DT_wizard_name}}, но похоже, что {{DT_wizard_fem}} исчез...#Вы знаете, что {{DT_wizard_fem}} читал и заметку, и расшифрованное сообщение, но вы нигде его не можете найти...",あなたはメモを {{DT_wizard_name}} と共有したいと考えていますが、{{DT_wizard_fem}} が失踪したようです...#{{DT_wizard_fem}} がメモと復号化されたメッセージの両方を読んでいたのはご存知でしょうが、どこにも見つかりません...,您想与 {{DT_wizard_name}} 分享该便条，但看起来 {{DT_wizard_fem}} 消失了...#您知道 {{DT_wizard_fem}} 正在阅读该便条和解密的消息，但您在任何地方都找不到他...,"Vuoi condividere la nota con {{DT_wizard_name}}, ma sembra che {{DT_wizard_fem}} sia scomparso...#Sai che {{DT_wizard_fem}} stava leggendo sia la nota che il messaggio decrittografato, ma non riesci a trovarlo da nessuna parte...","Vous souhaitez partager la note avec {{DT_wizard_name}}, mais il semble que {{DT_wizard_fem}} ait disparu...#Vous savez que {{DT_wizard_fem}} lisait à la fois la note et le message déchiffré, mais vous ne le trouvez nulle part...",메모를 {{DT_wizard_name}}님과 공유하고 싶지만 {{DT_wizard_fem}}이 사라진 것 같습니다...#{{DT_wizard_fem}}님이 메모와 해독된 메시지를 모두 읽고 있었지만 어디에서도 그를 찾을 수 없다는 것을 알고 계십니다...,Notu {{DT_wizard_name}} ile paylaşmak istiyorsunuz ancak {{DT_wizard_fem}} ortadan kaybolmuş gibi görünüyor...#Biliyorsunuz {{DT_wizard_fem}} hem notu hem de şifresi çözülmüş mesajı okuyordu ama onu hiçbir yerde bulamıyorsunuz...,"Meg szeretné osztani a jegyzetet {{DT_wizard_name}}-el, de úgy tűnik, {{DT_wizard_fem}} eltűnt...#Tudja, hogy {{DT_wizard_fem}} elolvasta a jegyzetet és a visszafejtett üzenetet is, de nem találja sehol..."
"Events.14h-p3.42: ""It looks like {{DT_wizard_fem}} left you alone, with a note in your hand, with a feeling that you're never going to see Eleanor again..."", // message","It looks like {{DT_wizard_fem}} left you alone, with a note in your hand, with a feeling that you're never going to see Eleanor again...","Es sieht so aus, als hätte {{DT_wizard_fem}} dich allein gelassen, mit einer Notiz in der Hand, mit dem Gefühl, dass du Eleanor nie wieder sehen wirst ...","Parece que {{DT_wizard_fem}} te dejó solo, con una nota en la mano, con la sensación de que no volverás a ver a Eleanor nunca más...","Parece que {{DT_wizard_fem}} deixou você sozinho, com um bilhete na mão, com a sensação de que você nunca mais verá Eleanor...","Похоже, {{DT_wizard_fem}} оставил тебя одну, с запиской в ​​руке, с ощущением, что ты больше никогда не увидишь Элеонору...",{{DT_wizard_fem}}は、エレノアには二度と会えないという気持ちを抱えたまま、メモを手にあなたを放っておいたようです...,看来 {{DT_wizard_fem}} 留下了你一个人，手里还拿着一张纸条，感觉你再也见不到埃莉诺了……,"Sembra che {{DT_wizard_fem}} ti abbia lasciato solo, con un biglietto in mano, con la sensazione che non rivedrai mai più Eleanor...","On dirait que {{DT_wizard_fem}} vous a laissé seul, avec un mot à la main, avec le sentiment que vous ne reverrez plus jamais Eleanor...",{{DT_wizard_fem}}이 당신을 손에 쪽지를 들고 다시는 Eleanor를 볼 수 없을 것 같은 느낌으로 당신을 혼자 남겨둔 것 같습니다...,Görünüşe göre {{DT_wizard_fem}} seni elinde bir notla ve Eleanor'u bir daha göremeyeceğin hissiyle yalnız bırakmış...,"Úgy tűnik, {{DT_wizard_fem}} magára hagyott, egy cetlivel a kezedben, és olyan érzéssel, hogy soha többé nem fogod látni Eleanort..."
"Events.14h-p3.43: ""...#This problem is getting bigger and bigger, and you have to find a solution, no matter what...#...and you have to do it as soon as it would be even possible!"", // message","...#This problem is getting bigger and bigger, and you have to find a solution, no matter what...#...and you have to do it as soon as it would be even possible!","...#Dieses Problem wird immer größer und man muss eine Lösung finden, egal was passiert...#...und man muss es tun, sobald es überhaupt möglich ist!","...#Este problema es cada vez más grande, y tienes que encontrar una solución, pase lo que pase...#...¡y tienes que hacerlo tan pronto como sea posible!","...#Esse problema está ficando cada vez maior, e você tem que encontrar uma solução, não importa o que aconteça...#...e você tem que fazer isso o mais rápido possível!","...#Эта проблема становится все больше и больше, и вам придется найти решение, несмотря ни на что...#...и вы должны сделать это как можно скорее!",...#この問題はますます大きくなりつつあるので、何が何でも解決策を見つけなければなりません...#...そして可能な限り早く解決しなければなりません!,...#这个问题越来越大，你必须找到解决办法，无论如何...#...而且你必须尽快去做！,"...#Questo problema sta diventando sempre più grande, e devi trovare una soluzione, qualunque cosa accada...#...e devi farlo il prima possibile!","...#Ce problème devient de plus en plus grand, et vous devez trouver une solution, quoi qu'il arrive...#...et vous devez le faire dès que cela est possible !","...#이 문제는 점점 더 커지고 있으며, 무슨 일이 있어도 해결책을 찾아야 합니다...#...그리고 가능한 한 빨리 해결해야 합니다!",...#Bu sorun giderek büyüyor ve ne olursa olsun bir çözüm bulmalısınız...#...ve bunu mümkün olan en kısa sürede yapmalısınız!,"...#Ez a probléma egyre nagyobb és nagyobb, és megoldást kell találni, bármi is legyen...#...és meg kell tenned, amint csak lehetséges!"
"Events.14h-p3.44: ""And with that, you start running to the town, to meet her only friend there - Abigail."", // message","And with that, you start running to the town, to meet her only friend there - Abigail.","Und damit fängst du an, in die Stadt zu rennen, um dort ihre einzige Freundin zu treffen – Abigail.","Y con eso, empiezas a correr hacia la ciudad para encontrarte con su única amiga allí: Abigail.","E com isso, você começa a correr para a cidade, para encontrar lá a única amiga dela - Abigail.","И с этими словами вы начинаете бежать в город, чтобы встретить там ее единственную подругу - Эбигейл.",そして、そこで彼女の唯一の友人であるアビゲイルに会うために、あなたは町へ走り始めます。,就这样，你开始跑到镇上，去见她唯一的朋友——阿比盖尔。,"E con questo, inizi a correre in città, per incontrare la sua unica amica: Abigail.","Et sur ce, vous commencez à courir vers la ville pour y rencontrer sa seule amie, Abigail.",그리고 당신은 그녀의 유일한 친구인 애비게일을 만나기 위해 마을로 달려가기 시작합니다.,"Ve bununla birlikte, onun tek arkadaşı Abigail ile tanışmak için kasabaya koşmaya başlarsınız.","És ezzel elkezdesz futni a városba, hogy találkozz az egyetlen ottani barátjával - Abigaillel."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// part 4/5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Events.14h-p4.0: ""Pelican Town, Pierre's General store, after running there from the forest..."", // message","Pelican Town, Pierre's General store, after running there from the forest...","Pelican Town, Pierres Gemischtwarenladen, nachdem er aus dem Wald dorthin gerannt ist ...","Pelican Town, la tienda general de Pierre, después de correr allí desde el bosque...","Pelican Town, Armazém Geral de Pierre, depois de correr da floresta para lá...","Город Пеликан, Универсальный магазин Пьера, после того, как сбежал туда из леса...",森から走ってたどり着いたペリカンタウン、ピエール雑貨店…。,鹈鹕镇，皮埃尔的杂货店，从森林跑到那里后……,"Pelican Town, l'emporio di Pierre, dopo essere corso lì dalla foresta...","Pelican Town, magasin général Pierre, après avoir couru depuis la forêt...","피에르네 잡화점 펠리칸 타운, 숲에서 달려 그곳으로...","Pelican Town, Pierre'in bakkalı, ormandan oraya koştuktan sonra...","Pelican Town, Pierre's vegyesbolt, miután odaszaladt az erdőből..."
"Events.14h-p4.1: ""Huh...#$b#That was such a strange dream...#$b#...but it felt so real..."",",Huh...#$b#That was such a strange dream...#$b#...but it felt so real...,Huh...#$b#Das war so ein seltsamer Traum...#$b#...aber er fühlte sich so real an...,Eh...#$b#Ese fue un sueño tan extraño...#$b#...pero se sintió tan real...,Huh...#$b#Foi um sonho tão estranho...#$b#...mas parecia tão real...,Ха...#$b#Это был такой странный сон...#$b#...но он казался таким реальным...,ふーん...#$b# とても奇妙な夢でした...#$b#...でもとてもリアルに感じました...,呃...#$b#这真是一个奇怪的梦...#$b#...但感觉很真实...,Eh...#$b#Era un sogno davvero strano...#$b#...ma sembrava così reale...,Huh...#$b#C'était un rêve tellement étrange...#$b#...mais il semblait si réel...,으아...#$b#정말 이상한 꿈이었는데...#$b#...근데 너무 현실같았어...,Hah...#$b#Bu çok tuhaf bir rüyaydı...#$b#...ama çok gerçekçi geldi...,Huh...#$b#Olyan furcsa álom volt...#$b#...de olyan valóságosnak tűnt...
